year,ticker,company_name,num_committees,over75_pct,num_meetings
2023,MMM,3M,9.0,1.0,10.0
2023,AOS,A. O. Smith,12.0,1.0,10.0
2023,ABT,Abbott,6.0,1.0,12.0
2023,ABBV,AbbVie,6.0,1.0,11.0
2023,ACN,Accenture,7.0,1.0,9.0
2023,ADBE,Adobe Inc.,7.0,1.0,12.0
2023,AMD,Advanced Micro Devices,8.0,1.0,9.0
2023,AES,AES Corporation,11.0,1.0,10.0
2023,AFL,Aflac,11.0,1.0,11.0
2023,A,Agilent Technologies,9.0,1.0,11.0
2023,APD,Air Products and Chemicals,8.0,1.0,8.0
2023,ABNB,Airbnb,4.0,1.0,8.0
2023,AKAM,Akamai,6.0,1.0,10.0
2023,ALB,Albemarle Corporation,12.0,1.0,10.0
2023,ARE,Alexandria Real Estate Equities,12.0,1.0,7.0
2023,ALGN,Align Technology,5.0,1.0,8.0
2023,ALLE,Allegion,4.0,1.0,9.0
2023,LNT,Alliant Energy,9.0,1.0,9.0
2023,ALL,Allstate,7.0,1.0,12.0
2023,GOOGL,Alphabet Inc. (Class A),8.0,1.0,11.0
2023,GOOG,Alphabet Inc. (Class C),8.0,,
2023,MO,Altria,10.0,1.0,12.0
2023,AMZN,Amazon,6.0,1.0,11.0
2023,AMCR,Amcor,7.0,1.0,10.0
2023,AEE,Ameren,14.0,1.0,14.0
2023,AAL,American Airlines Group,7.0,1.0,13.0
2023,AEP,American Electric Power,9.0,1.0,13.0
2023,AXP,American Express,24.0,1.0,14.0
2023,AIG,American International Group,14.0,1.0,10.0
2023,AMT,American Tower,6.0,1.0,12.0
2023,AWK,American Water Works,7.0,1.0,10.0
2023,AMP,Ameriprise Financial,5.0,1.0,8.0
2023,AME,Ametek,10.0,1.0,9.0
2023,AMGN,Amgen,10.0,1.0,13.0
2023,APH,Amphenol,5.0,1.0,9.0
2023,ADI,Analog Devices,6.0,1.0,11.0
2023,ANSS,Ansys,7.0,1.0,10.0
2023,AON,Aon,7.0,1.0,12.0
2023,APA,APA Corporation,8.0,1.0,10.0
2023,AAPL,Apple Inc.,5.0,1.0,9.0
2023,AMAT,Applied Materials,7.0,1.0,10.0
2023,APTV,Aptiv,5.0,1.0,10.0
2023,ACGL,Arch Capital Group,10.0,1.0,13.0
2023,ADM,Archer-Daniels-Midland,11.0,1.0,11.0
2023,ANET,Arista Networks,4.0,1.0,9.0
2023,AJG,Arthur J. Gallagher & Co.,7.0,1.0,9.0
2023,AIZ,Assurant,8.0,1.0,13.0
2023,T,AT&T,15.0,1.0,10.0
2023,ATO,Atmos Energy,7.0,1.0,11.0
2023,ADSK,Autodesk,5.0,1.0,11.0
2023,ADP,Automated Data Processing,7.0,1.0,12.0
2023,AZO,AutoZone,4.0,1.0,10.0
2023,AVB,AvalonBay Communities,6.0,1.0,12.0
2023,AVY,Avery Dennison,14.0,1.0,10.0
2023,AXON,Axon Enterprise,11.0,1.0,11.0
2023,BKR,Baker Hughes,12.0,1.0,9.0
2023,BALL,Ball Corporation,6.0,1.0,11.0
2023,BAC,Bank of America,18.0,1.0,14.0
2023,BK,Bank of New York Mellon,16.0,1.0,11.0
2023,BBWI,"Bath & Body Works, Inc.",8.0,1.0,13.0
2023,BAX,Baxter International,11.0,1.0,10.0
2023,BDX,Becton Dickinson,14.0,1.0,11.0
2023,BRK.B,Berkshire Hathaway,2.0,1.0,15.0
2023,BBY,Best Buy,9.0,1.0,12.0
2023,BIO,Bio-Rad,3.0,1.0,6.0
2023,TECH,Bio-Techne,5.0,1.0,9.0
2023,BIIB,Biogen,8.0,1.0,10.0
2023,BLK,BlackRock,8.0,1.0,16.0
2023,BX,Blackstone,5.0,,
2023,BA,Boeing,12.0,1.0,13.0
2023,BKNG,Booking Holdings,6.0,1.0,11.0
2023,BWA,BorgWarner,6.0,1.0,8.0
2023,BXP,Boston Properties,7.0,1.0,11.0
2023,BSX,Boston Scientific,10.0,1.0,9.0
2023,BMY,Bristol Myers Squibb,6.0,1.0,11.0
2023,AVGO,Broadcom Inc.,6.0,1.0,9.0
2023,BR,Broadridge Financial Solutions,6.0,1.0,11.0
2023,BRO,Brown & Brown,4.0,1.0,12.0
2023,BF.B,Brown–Forman,5.0,1.0,11.0
2023,BLDR,Builders FirstSource,4.0,1.0,10.0
2023,BG,Bunge Global SA,10.0,1.0,11.0
2023,CDNS,Cadence Design Systems,8.0,1.0,10.0
2023,CZR,Caesars Entertainment,17.0,1.0,9.0
2023,CPT,Camden Property Trust,6.0,1.0,10.0
2023,CPB,Campbell Soup Company,5.0,1.0,12.0
2023,COF,Capital One,8.0,1.0,12.0
2023,CAH,Cardinal Health,11.0,1.0,11.0
2023,KMX,CarMax,5.0,1.0,11.0
2023,CCL,Carnival,8.0,1.0,11.0
2023,CARR,Carrier Global,4.0,1.0,9.0
2023,CTLT,Catalent,7.0,,
2023,CAT,Caterpillar Inc.,10.0,1.0,11.0
2023,CBOE,Cboe Global Markets,8.0,1.0,12.0
2023,CBRE,CBRE Group,6.0,1.0,11.0
2023,CDW,CDW,4.0,1.0,10.0
2023,CE,Celanese,7.0,1.0,10.0
2023,COR,Cencora,18.0,1.0,10.0
2023,CNC,Centene Corporation,15.0,1.0,10.0
2023,CNP,CenterPoint Energy,7.0,1.0,9.0
2023,CF,CF Industries,13.0,1.0,11.0
2023,CHRW,CH Robinson,7.0,1.0,11.0
2023,CRL,Charles River Laboratories,8.0,1.0,11.0
2023,SCHW,Charles Schwab Corporation,5.0,1.0,17.0
2023,CHTR,Charter Communications,4.0,1.0,13.0
2023,CVX,Chevron Corporation,5.0,1.0,12.0
2023,CMG,Chipotle Mexican Grill,6.0,1.0,9.0
2023,CB,Chubb Limited,8.0,1.0,13.0
2023,CHD,Church & Dwight,8.0,1.0,10.0
2023,CI,Cigna,6.0,1.0,11.0
2023,CINF,Cincinnati Financial,5.0,1.0,12.0
2023,CTAS,Cintas,5.0,1.0,10.0
2023,CSCO,Cisco,14.0,1.0,9.0
2023,C,Citigroup,23.0,1.0,13.0
2023,CFG,Citizens Financial Group,6.0,1.0,13.0
2023,CLX,Clorox,8.0,1.0,12.0
2023,CME,CME Group,16.0,1.0,23.0
2023,CMS,CMS Energy,13.0,1.0,11.0
2023,KO,Coca-Cola Company (The),13.0,1.0,13.0
2023,CTSH,Cognizant,9.0,1.0,13.0
2023,CL,Colgate-Palmolive,9.0,1.0,11.0
2023,CMCSA,Comcast,7.0,1.0,10.0
2023,CMA,Comerica,13.0,1.0,13.0
2023,CAG,Conagra Brands,10.0,1.0,11.0
2023,COP,ConocoPhillips,8.0,1.0,13.0
2023,ED,Consolidated Edison,13.0,1.0,11.0
2023,STZ,Constellation Brands,5.0,1.0,11.0
2023,CEG,Constellation Energy,12.0,1.0,10.0
