ticker,company_name,num_committees,dirs,over75_pct,num_meetings,avg_meetings
MMM,3M,9.0,39.0,1.0,10.0,1.1111111111111112
AOS,A. O. Smith,12.0,37.0,1.0,10.0,0.8333333333333334
ABT,Abbott,6.0,32.0,1.0,12.0,2.0
ABBV,AbbVie,6.0,15.0,1.0,11.0,1.8333333333333333
ACN,Accenture,7.0,27.0,1.0,9.0,1.2857142857142858
ADBE,Adobe Inc.,7.0,24.0,1.0,12.0,1.7142857142857142
AMD,Advanced Micro Devices,8.0,27.0,1.0,9.0,1.125
AES,AES Corporation,11.0,34.0,1.0,10.0,0.9090909090909091
AFL,Aflac,11.0,30.0,1.0,11.0,1.0
A,Agilent Technologies,9.0,40.0,1.0,11.0,1.2222222222222223
APD,Air Products and Chemicals,8.0,34.0,1.0,8.0,1.0
ABNB,Airbnb,4.0,11.0,1.0,8.0,2.0
AKAM,Akamai,6.0,27.0,1.0,10.0,1.6666666666666667
ALB,Albemarle Corporation,12.0,31.0,1.0,10.0,0.8333333333333334
ARE,Alexandria Real Estate Equities,12.0,35.0,1.0,7.0,0.5833333333333334
ALGN,Align Technology,5.0,15.0,1.0,8.0,1.6
ALLE,Allegion,4.0,12.0,1.0,9.0,2.25
LNT,Alliant Energy,9.0,32.0,1.0,9.0,1.0
ALL,Allstate,7.0,29.0,1.0,12.0,1.7142857142857142
GOOGL,Alphabet Inc. (Class A),8.0,18.0,1.0,11.0,1.375
GOOG,Alphabet Inc. (Class C),8.0,18.0,,,
MO,Altria,10.0,40.0,1.0,12.0,1.2
AMZN,Amazon,6.0,21.0,1.0,11.0,1.8333333333333333
AMCR,Amcor,7.0,25.0,1.0,10.0,1.4285714285714286
AEE,Ameren,14.0,37.0,1.0,14.0,1.0
AAL,American Airlines Group,7.0,21.0,1.0,13.0,1.8571428571428572
AEP,American Electric Power,9.0,38.0,1.0,13.0,1.4444444444444444
AXP,American Express,24.0,75.0,1.0,14.0,0.5833333333333334
AIG,American International Group,14.0,56.0,1.0,10.0,0.7142857142857143
AMT,American Tower,6.0,23.0,1.0,12.0,2.0
AWK,American Water Works,7.0,19.0,1.0,10.0,1.4285714285714286
AMP,Ameriprise Financial,5.0,17.0,1.0,8.0,1.6
AME,Ametek,10.0,26.0,1.0,9.0,0.9
AMGN,Amgen,10.0,33.0,1.0,13.0,1.3
APH,Amphenol,5.0,20.0,1.0,9.0,1.8
ADI,Analog Devices,6.0,28.0,1.0,11.0,1.8333333333333333
ANSS,Ansys,7.0,23.0,1.0,10.0,1.4285714285714286
AON,Aon,7.0,33.0,1.0,12.0,1.7142857142857142
APA,APA Corporation,8.0,29.0,1.0,10.0,1.25
AAPL,Apple Inc.,5.0,12.0,1.0,9.0,1.8
AMAT,Applied Materials,7.0,29.0,1.0,10.0,1.4285714285714286
APTV,Aptiv,5.0,23.0,1.0,10.0,2.0
ACGL,Arch Capital Group,10.0,33.0,1.0,13.0,1.3
ADM,Archer-Daniels-Midland,11.0,40.0,1.0,11.0,1.0
ANET,Arista Networks,4.0,17.0,1.0,9.0,2.25
AJG,Arthur J. Gallagher & Co.,7.0,19.0,1.0,9.0,1.2857142857142858
AIZ,Assurant,8.0,27.0,1.0,13.0,1.625
T,AT&T,15.0,77.0,1.0,10.0,0.6666666666666666
ATO,Atmos Energy,7.0,25.0,1.0,11.0,1.5714285714285714
ADSK,Autodesk,5.0,28.0,1.0,11.0,2.2
ADP,Automated Data Processing,7.0,32.0,1.0,12.0,1.7142857142857142
AZO,AutoZone,4.0,26.0,1.0,10.0,2.5
AVB,AvalonBay Communities,6.0,27.0,1.0,12.0,2.0
AVY,Avery Dennison,14.0,26.0,1.0,10.0,0.7142857142857143
AXON,Axon Enterprise,11.0,17.0,1.0,11.0,1.0
BKR,Baker Hughes,12.0,48.0,1.0,9.0,0.75
BALL,Ball Corporation,6.0,25.0,1.0,11.0,1.8333333333333333
BAC,Bank of America,18.0,89.0,1.0,14.0,0.7777777777777778
BK,Bank of New York Mellon,16.0,44.0,1.0,11.0,0.6875
BBWI,"Bath & Body Works, Inc.",8.0,27.0,1.0,13.0,1.625
BAX,Baxter International,11.0,36.0,1.0,10.0,0.9090909090909091
BDX,Becton Dickinson,14.0,38.0,1.0,11.0,0.7857142857142857
BRK.B,Berkshire Hathaway,2.0,13.0,1.0,15.0,7.5
BBY,Best Buy,9.0,35.0,1.0,12.0,1.3333333333333333
BIO,Bio-Rad,3.0,11.0,1.0,6.0,2.0
TECH,Bio-Techne,5.0,15.0,1.0,9.0,1.8
BIIB,Biogen,8.0,23.0,1.0,10.0,1.25
BLK,BlackRock,8.0,39.0,1.0,16.0,2.0
BX,Blackstone,5.0,27.0,,,
BA,Boeing,12.0,48.0,1.0,13.0,1.0833333333333333
BKNG,Booking Holdings,6.0,25.0,1.0,11.0,1.8333333333333333
BWA,BorgWarner,6.0,29.0,1.0,8.0,1.3333333333333333
BXP,Boston Properties,7.0,24.0,1.0,11.0,1.5714285714285714
BSX,Boston Scientific,10.0,43.0,1.0,9.0,0.9
BMY,Bristol Myers Squibb,6.0,37.0,1.0,11.0,1.8333333333333333
AVGO,Broadcom Inc.,6.0,20.0,1.0,9.0,1.5
BR,Broadridge Financial Solutions,6.0,27.0,1.0,11.0,1.8333333333333333
BRO,Brown & Brown,4.0,14.0,1.0,12.0,3.0
BF.B,Brown–Forman,5.0,25.0,1.0,11.0,2.2
BLDR,Builders FirstSource,4.0,16.0,1.0,10.0,2.5
BG,Bunge Global SA,10.0,31.0,1.0,11.0,1.1
CDNS,Cadence Design Systems,8.0,19.0,1.0,10.0,1.25
CZR,Caesars Entertainment,17.0,48.0,1.0,9.0,0.5294117647058824
CPT,Camden Property Trust,6.0,15.0,1.0,10.0,1.6666666666666667
CPB,Campbell Soup Company,5.0,38.0,1.0,12.0,2.4
COF,Capital One,8.0,23.0,1.0,12.0,1.5
CAH,Cardinal Health,11.0,45.0,1.0,11.0,1.0
KMX,CarMax,5.0,26.0,1.0,11.0,2.2
CCL,Carnival,8.0,23.0,1.0,11.0,1.375
CARR,Carrier Global,4.0,8.0,1.0,9.0,2.25
CTLT,Catalent,7.0,19.0,,,
CAT,Caterpillar Inc.,10.0,30.0,1.0,11.0,1.1
CBOE,Cboe Global Markets,8.0,35.0,1.0,12.0,1.5
CBRE,CBRE Group,6.0,25.0,1.0,11.0,1.8333333333333333
CDW,CDW,4.0,17.0,1.0,10.0,2.5
CE,Celanese,7.0,34.0,1.0,10.0,1.4285714285714286
COR,Cencora,18.0,39.0,1.0,10.0,0.5555555555555556
CNC,Centene Corporation,15.0,34.0,1.0,10.0,0.6666666666666666
CNP,CenterPoint Energy,7.0,30.0,1.0,9.0,1.2857142857142858
CF,CF Industries,13.0,52.0,1.0,11.0,0.8461538461538461
CHRW,CH Robinson,7.0,22.0,1.0,11.0,1.5714285714285714
CRL,Charles River Laboratories,8.0,24.0,1.0,11.0,1.375
SCHW,Charles Schwab Corporation,5.0,30.0,1.0,17.0,3.4
CHTR,Charter Communications,4.0,21.0,1.0,13.0,3.25
CVX,Chevron Corporation,5.0,34.0,1.0,12.0,2.4
CMG,Chipotle Mexican Grill,6.0,27.0,1.0,9.0,1.5
CB,Chubb Limited,8.0,39.0,1.0,13.0,1.625
CHD,Church & Dwight,8.0,30.0,1.0,10.0,1.25
CI,Cigna,6.0,34.0,1.0,11.0,1.8333333333333333
CINF,Cincinnati Financial,5.0,29.0,1.0,12.0,2.4
CTAS,Cintas,5.0,21.0,1.0,10.0,2.0
CSCO,Cisco,14.0,33.0,1.0,9.0,0.6428571428571429
C,Citigroup,23.0,60.0,1.0,13.0,0.5652173913043478
CFG,Citizens Financial Group,6.0,19.0,1.0,13.0,2.1666666666666665
CLX,Clorox,8.0,38.0,1.0,12.0,1.5
CME,CME Group,16.0,62.0,1.0,23.0,1.4375
CMS,CMS Energy,13.0,28.0,1.0,11.0,0.8461538461538461
KO,Coca-Cola Company (The),13.0,38.0,1.0,13.0,1.0
CTSH,Cognizant,9.0,23.0,1.0,13.0,1.4444444444444444
CL,Colgate-Palmolive,9.0,38.0,1.0,11.0,1.2222222222222223
CMCSA,Comcast,7.0,25.0,1.0,10.0,1.4285714285714286
CMA,Comerica,13.0,38.0,1.0,13.0,1.0
CAG,Conagra Brands,10.0,37.0,1.0,11.0,1.1
COP,ConocoPhillips,8.0,38.0,1.0,13.0,1.625
ED,Consolidated Edison,13.0,29.0,1.0,11.0,0.8461538461538461
STZ,Constellation Brands,5.0,24.0,1.0,11.0,2.2
CEG,Constellation Energy,12.0,35.0,1.0,10.0,0.8333333333333334
COO,CooperCompanies,10.0,18.0,1.0,8.0,0.8
CPRT,Copart,5.0,15.0,1.0,11.0,2.2
GLW,Corning Inc.,10.0,35.0,1.0,15.0,1.5
CTVA,Corteva,5.0,15.0,1.0,13.0,2.6
CSGP,CoStar Group,4.0,12.0,1.0,8.0,2.0
COST,Costco,4.0,16.0,1.0,11.0,2.75
CTRA,Coterra,11.0,33.0,1.0,10.0,0.9090909090909091
CCI,Crown Castle,7.0,29.0,1.0,10.0,1.4285714285714286
CSX,CSX,11.0,48.0,1.0,11.0,1.0
CMI,Cummins,10.0,29.0,1.0,12.0,1.2
CVS,CVS Health,7.0,33.0,1.0,11.0,1.5714285714285714
DHR,Danaher Corporation,8.0,21.0,1.0,14.0,1.75
DRI,Darden Restaurants,6.0,33.0,1.0,9.0,1.5
DVA,DaVita Inc.,7.0,27.0,1.0,9.0,1.2857142857142858
DAY,Dayforce,4.0,10.0,,,
DE,John Deere,9.0,39.0,1.0,11.0,1.2222222222222223
DAL,Delta Air Lines,8.0,49.0,1.0,13.0,1.625
XRAY,Dentsply Sirona,7.0,36.0,1.0,11.0,1.5714285714285714
DVN,Devon Energy,9.0,31.0,1.0,11.0,1.2222222222222223
DXCM,Dexcom,4.0,20.0,1.0,10.0,2.5
FANG,Diamondback Energy,5.0,8.0,1.0,9.0,1.8
DLR,Digital Realty,3.0,15.0,1.0,9.0,3.0
DFS,Discover Financial,10.0,33.0,1.0,12.0,1.2
DG,Dollar General,10.0,27.0,1.0,9.0,0.9
DLTR,Dollar Tree,8.0,27.0,1.0,10.0,1.25
D,Dominion Energy,9.0,33.0,1.0,11.0,1.2222222222222223
DPZ,Domino's,5.0,12.0,1.0,9.0,1.8
DOV,Dover Corporation,5.0,26.0,1.0,9.0,1.8
DOW,Dow Inc.,13.0,42.0,1.0,12.0,0.9230769230769231
DHI,DR Horton,4.0,13.0,1.0,6.0,1.5
DTE,DTE Energy,9.0,28.0,1.0,10.0,1.1111111111111112
DUK,Duke Energy,10.0,40.0,1.0,14.0,1.4
DD,DuPont,12.0,50.0,1.0,12.0,1.0
EMN,Eastman Chemical Company,8.0,29.0,1.0,12.0,1.5
ETN,Eaton Corporation,7.0,27.0,1.0,10.0,1.4285714285714286
EBAY,eBay,6.0,27.0,1.0,9.0,1.5
ECL,Ecolab,6.0,37.0,1.0,13.0,2.1666666666666665
EIX,Edison International,11.0,34.0,1.0,11.0,1.0
EW,Edwards Lifesciences,5.0,26.0,1.0,9.0,1.8
EA,Electronic Arts,6.0,21.0,1.0,8.0,1.3333333333333333
ELV,Elevance Health,9.0,37.0,1.0,11.0,1.2222222222222223
LLY,Eli Lilly and Company,8.0,32.0,1.0,12.0,1.5
EMR,Emerson Electric,9.0,37.0,1.0,11.0,1.2222222222222223
ENPH,Enphase,3.0,11.0,1.0,7.0,2.3333333333333335
ETR,Entergy,10.0,37.0,1.0,12.0,1.2
EOG,EOG Resources,10.0,23.0,1.0,9.0,0.9
EPAM,EPAM Systems,3.0,11.0,1.0,9.0,3.0
EQT,EQT,8.0,38.0,1.0,11.0,1.375
EFX,Equifax,12.0,55.0,1.0,10.0,0.8333333333333334
EQIX,Equinix,10.0,22.0,0.0,11.0,1.1
EQR,Equity Residential,6.0,28.0,1.0,9.0,1.5
ESS,Essex Property Trust,7.0,18.0,1.0,10.0,1.4285714285714286
EL,Estée Lauder Companies (The),5.0,19.0,1.0,15.0,3.0
ETSY,Etsy,4.0,12.0,1.0,9.0,2.25
EG,Everest Re,7.0,17.0,1.0,9.0,1.2857142857142858
EVRG,Evergy,10.0,22.0,1.0,11.0,1.1
ES,Eversource,13.0,47.0,1.0,11.0,0.8461538461538461
EXC,Exelon,15.0,42.0,1.0,8.0,0.5333333333333333
