ticker,spindex,num_committees,dirs,over75_pct,num_meetings,avg_meetings
AAON,S&P 600,3.0,15.0,1.0,8.0,2.6666666666666665
AIR,S&P 600,7.0,28.0,1.0,10.0,1.4285714285714286
ABM,S&P 600,9.0,25.0,1.0,10.0,1.1111111111111112
AFL,S&P 500,11.0,30.0,1.0,11.0,1.0
ATEN,S&P 600,3.0,8.0,1.0,5.0,1.6666666666666667
AGCO,S&P 400,10.0,31.0,1.0,10.0,1.0
AES,S&P 500,11.0,34.0,1.0,10.0,0.9090909090909091
AMCX,S&P 600,2.0,8.0,1.0,13.0,6.5
AMN,S&P 600,11.0,31.0,1.0,9.0,0.8181818181818182
ANIP,S&P 600,5.0,23.0,1.0,9.0,1.8
ASGN,S&P 400,5.0,18.0,1.0,11.0,2.2
T,S&P 500,15.0,77.0,1.0,10.0,0.6666666666666666
ATNI,S&P 600,6.0,15.0,1.0,7.0,1.1666666666666667
AZZ,S&P 600,3.0,17.0,1.0,10.0,3.3333333333333335
AAN,S&P 600,3.0,8.0,1.0,8.0,2.6666666666666665
ABT,S&P 500,6.0,32.0,1.0,12.0,2.0
ABBV,S&P 500,6.0,15.0,1.0,11.0,1.8333333333333333
ANF,S&P 600,12.0,33.0,1.0,9.0,0.75
ASO,S&P 600,17.0,38.0,1.0,10.0,0.5882352941176471
ACHC,S&P 400,6.0,15.0,1.0,10.0,1.6666666666666667
AKR,S&P 600,4.0,20.0,1.0,9.0,2.25
ACIW,S&P 600,7.0,22.0,1.0,7.0,1.0
ADTN,S&P 600,5.0,13.0,1.0,9.0,1.8
,S&P 500,776.0,17673.0,1.0,53.0,0.06829896907216494
AYI,S&P 400,5.0,25.0,1.0,10.0,2.0
AHCO,S&P 600,4.0,11.0,1.0,9.0,2.25
ADUS,S&P 600,4.0,12.0,1.0,9.0,2.25
ADEA,S&P 600,5.0,27.0,1.0,5.0,1.0
ADBE,S&P 500,7.0,24.0,1.0,12.0,1.7142857142857142
ATGE,S&P 600,12.0,36.0,1.0,10.0,0.8333333333333334
AAP,S&P 600,5.0,36.0,1.0,9.0,1.8
ACM,S&P 400,7.0,28.0,1.0,8.0,1.1428571428571428
ASIX,S&P 600,6.0,8.0,1.0,8.0,1.3333333333333333
AMD,S&P 500,8.0,27.0,1.0,9.0,1.125
WMS,S&P 400,8.0,37.0,1.0,12.0,1.5
AEIS,S&P 600,5.0,21.0,1.0,10.0,2.0
AVAV,S&P 600,4.0,15.0,1.0,7.0,1.75
AMG,S&P 400,11.0,53.0,1.0,8.0,0.7272727272727273
A,S&P 500,9.0,40.0,1.0,11.0,1.2222222222222223
AGYS,S&P 600,6.0,25.0,1.0,7.0,1.1666666666666667
AGTI,S&P 600,4.0,8.0,1.0,11.0,2.75
ADC,S&P 400,5.0,17.0,1.0,9.0,1.8
ABNB,S&P 500,4.0,11.0,1.0,8.0,2.0
APD,S&P 500,8.0,34.0,1.0,8.0,1.0
AKAM,S&P 500,6.0,27.0,1.0,10.0,1.6666666666666667
ALG,S&P 600,4.0,16.0,1.0,8.0,2.0
ALRM,S&P 600,3.0,10.0,1.0,7.0,2.3333333333333335
ALK,S&P 600,9.0,25.0,1.0,11.0,1.2222222222222223
AIN,S&P 600,3.0,25.0,1.0,9.0,3.0
ALB,S&P 500,12.0,31.0,1.0,10.0,0.8333333333333334
AA,S&P 400,6.0,16.0,1.0,9.0,1.5
ALEX,S&P 600,3.0,13.0,1.0,7.0,2.3333333333333335
ARE,S&P 500,12.0,35.0,1.0,7.0,0.5833333333333334
ALGN,S&P 500,5.0,15.0,1.0,8.0,1.6
ATI,S&P 600,8.0,30.0,1.0,10.0,1.25
ALGT,S&P 600,5.0,13.0,1.0,8.0,1.6
ALGM,S&P 400,4.0,11.0,0.0,11.0,2.75
ALE,S&P 400,6.0,29.0,1.0,10.0,1.6666666666666667
BFH,S&P 600,6.0,20.0,1.0,7.0,1.1666666666666667
LNT,S&P 500,9.0,32.0,1.0,9.0,1.0
ALL,S&P 500,7.0,29.0,1.0,12.0,1.7142857142857142
ALLY,S&P 400,9.0,26.0,1.0,11.0,1.2222222222222223
AMR,S&P 600,4.0,19.0,1.0,10.0,2.5
GOOGL,S&P 500,8.0,18.0,1.0,11.0,1.375
MO,S&P 500,10.0,40.0,1.0,12.0,1.2
AMZN,S&P 500,7.0,21.0,1.0,11.0,1.5714285714285714
AMBC,S&P 600,5.0,12.0,1.0,7.0,1.4
AMED,S&P 400,8.0,16.0,1.0,9.0,1.125
AEE,S&P 500,14.0,37.0,1.0,14.0,1.0
AAL,S&P 500,7.0,21.0,1.0,13.0,1.8571428571428572
AAT,S&P 600,3.0,8.0,1.0,5.0,1.6666666666666667
AXL,S&P 600,11.0,42.0,1.0,10.0,0.9090909090909091
AEP,S&P 500,9.0,39.0,1.0,13.0,1.4444444444444444
AEO,S&P 600,5.0,15.0,1.0,7.0,1.4
AEL,S&P 600,9.0,20.0,1.0,10.0,1.1111111111111112
AXP,S&P 500,24.0,75.0,1.0,14.0,0.5833333333333334
AFG,S&P 400,5.0,18.0,1.0,11.0,2.2
AIG,S&P 500,14.0,56.0,1.0,10.0,0.7142857142857143
AWR,S&P 600,3.0,17.0,1.0,9.0,3.0
AMT,S&P 500,6.0,23.0,1.0,12.0,2.0
AVD,S&P 600,5.0,20.0,1.0,9.0,1.8
AWK,S&P 500,7.0,19.0,1.0,10.0,1.4285714285714286
AMWD,S&P 600,6.0,20.0,1.0,8.0,1.3333333333333333
CRMT,S&P 600,9.0,16.0,1.0,7.0,0.7777777777777778
AMSF,S&P 600,5.0,13.0,1.0,8.0,1.6
COR,S&P 500,18.0,39.0,1.0,10.0,0.5555555555555556
AMP,S&P 500,5.0,17.0,1.0,8.0,1.6
ABCB,S&P 600,11.0,24.0,1.0,13.0,1.1818181818181819
AME,S&P 500,10.0,26.0,1.0,9.0,0.9
AMGN,S&P 500,10.0,33.0,1.0,13.0,1.3
AMKR,S&P 400,4.0,15.0,1.0,11.0,2.75
APH,S&P 500,5.0,20.0,1.0,9.0,1.8
AMPH,S&P 600,7.0,18.0,1.0,10.0,1.4285714285714286
ADI,S&P 500,6.0,28.0,1.0,11.0,1.8333333333333333
ANDE,S&P 600,6.0,22.0,1.0,10.0,1.6666666666666667
ANGO,,5.0,17.0,,,
ANIK,S&P 600,5.0,15.0,1.0,8.0,1.6
NLY,S&P 400,8.0,21.0,1.0,10.0,1.25
ANSS,S&P 500,7.0,23.0,1.0,10.0,1.4285714285714286
AR,S&P 400,9.0,23.0,1.0,8.0,0.8888888888888888
ELV,S&P 500,9.0,37.0,1.0,11.0,1.2222222222222223
AM,S&P 400,9.0,26.0,1.0,9.0,1.0
APA,S&P 500,8.0,29.0,1.0,10.0,1.25
AIRC,S&P 400,4.0,11.0,1.0,9.0,2.25
APOG,S&P 600,6.0,25.0,1.0,9.0,1.5
ARI,S&P 600,5.0,18.0,1.0,10.0,2.0
AMEH,S&P 600,,,1.0,9.0,
AAPL,S&P 500,5.0,12.0,1.0,9.0,1.8
APLE,S&P 600,4.0,10.0,1.0,9.0,2.25
AIT,S&P 600,7.0,25.0,1.0,9.0,1.2857142857142858
AMAT,S&P 500,7.0,29.0,1.0,10.0,1.4285714285714286
ATR,S&P 400,6.0,25.0,1.0,11.0,1.8333333333333333
ARMK,S&P 400,8.0,26.0,1.0,11.0,1.375
ABR,S&P 600,7.0,22.0,1.0,8.0,1.1428571428571428
ARCB,S&P 600,7.0,17.0,1.0,9.0,1.2857142857142858
ADM,S&P 500,11.0,40.0,1.0,11.0,1.0
AROC,S&P 600,4.0,18.0,1.0,9.0,2.25
ACA,S&P 600,4.0,10.0,1.0,10.0,2.5
RCUS,S&P 600,5.0,10.0,1.0,12.0,2.4
ANET,S&P 500,4.0,17.0,1.0,9.0,2.25
ARLO,S&P 600,7.0,7.0,1.0,7.0,1.0
AHH,S&P 600,3.0,8.0,1.0,9.0,3.0
ARR,S&P 600,5.0,13.0,1.0,10.0,2.0
AWI,S&P 600,5.0,24.0,1.0,8.0,1.6
ARW,S&P 400,5.0,21.0,1.0,10.0,2.0
ARWR,S&P 400,4.0,10.0,1.0,8.0,2.0
APAM,S&P 600,4.0,8.0,1.0,8.0,2.0
ABG,S&P 600,8.0,23.0,1.0,9.0,1.125
ASH,S&P 400,8.0,35.0,1.0,9.0,1.125
ASB,S&P 400,12.0,32.0,1.0,10.0,0.8333333333333334
AIZ,S&P 500,8.0,27.0,1.0,13.0,1.625
ASTE,S&P 600,6.0,28.0,1.0,10.0,1.6666666666666667
AUB,S&P 600,7.0,37.0,1.0,12.0,1.7142857142857142
ATO,S&P 500,7.0,25.0,1.0,11.0,1.5714285714285714
CHX,S&P 400,3.0,10.0,1.0,9.0,3.0
ADSK,S&P 500,5.0,28.0,1.0,11.0,2.2
ALV,S&P 400,10.0,41.0,1.0,11.0,1.1
ADP,S&P 500,7.0,32.0,1.0,12.0,1.7142857142857142
AN,S&P 400,9.0,34.0,1.0,8.0,0.8888888888888888
AZO,S&P 500,4.0,26.0,1.0,10.0,2.5
AVB,S&P 500,6.0,27.0,1.0,12.0,2.0
AVNS,S&P 600,5.0,11.0,1.0,6.0,1.2
AVY,S&P 500,14.0,31.0,1.0,10.0,0.7142857142857143
AVID,S&P 600,5.0,18.0,1.0,9.0,1.8
CDMO,S&P 600,4.0,13.0,1.0,7.0,1.75
AVNT,S&P 400,10.0,37.0,1.0,12.0,1.2
