ticker,company_name,directorid,directorname,rolename,datestartrole,dateendrole,qualification,valid_start,valid_end,university,uniscoreavg
MMM,3M,34358.0,Sir George Buckley,Chairman/President/CEO,2005-12-06,2012-02-23 00:00:00.000000,PhD,2005.0,2012.0,University of Huddersfield,26.91875
MMM,3M,1310783.0,Mike Roman,Chairman/CEO,2023-09-01,2024-02-24 19:51:12.077660,MS,2023.0,2024.0,University of Southern California,65.46153846153847
MMM,3M,32370.0,Jim McNerney Jr,Chairman/CEO,2001-01-01,2005-06-30 00:00:00.000000,MBA,2001.0,2005.0,Harvard University,93.73076923076923
MMM,3M,1310783.0,Mike Roman,CEO,2018-07-01,2019-06-01 00:00:00.000000,BS,2018.0,2019.0,University of Minnesota,66.3
MMM,3M,33822.0,Livio DeSimone,Chairman/CEO,1991-11-01,2000-12-31 00:00:00.000000,BSc,1991.0,2000.0,McGill University,73.0
MMM,3M,1310783.0,Mike Roman,Chairman/CEO,2023-09-01,2024-02-24 19:51:12.077660,BS,2023.0,2024.0,University of Minnesota,66.3
MMM,3M,842949.0,Doctor Ken Cai,Chairman/President/CEO,2007-01-29,2017-06-28 00:00:00.000000,PhD,2007.0,2017.0,Queen’s University,42.71666666666667
MMM,3M,34358.0,Sir George Buckley,Chairman/President/CEO,2005-12-06,2012-02-23 00:00:00.000000,PhD,2005.0,2012.0,University of Southampton,56.66923076923077
MMM,3M,34358.0,Sir George Buckley,Chairman/President/CEO,2005-12-06,2012-02-23 00:00:00.000000,BSc,2005.0,2012.0,University of Huddersfield,26.91875
MMM,3M,842949.0,Doctor Ken Cai,Chairman/President/CEO,2020-06-04,2024-02-24 19:51:12.077660,PhD,2020.0,2024.0,Queen’s University,42.71666666666667
MMM,3M,534445.0,Inge Thulin,Chairman/President/CEO,2012-05-08,2018-07-01 00:00:00.000000,MBA,2012.0,2018.0,AGH University of Science and Technology,17.925
MMM,3M,1310783.0,Mike Roman,CEO,2018-07-01,2019-06-01 00:00:00.000000,MS,2018.0,2019.0,University of Southern California,65.46153846153847
MMM,3M,1310783.0,Mike Roman,Chairman/President/CEO,2019-06-01,2023-09-01 00:00:00.000000,MS,2019.0,2023.0,University of Southern California,65.46153846153847
MMM,3M,842949.0,Doctor Ken Cai,Chairman/CEO,2017-06-28,2020-06-04 00:00:00.000000,PhD,2017.0,2020.0,Queen’s University,42.71666666666667
MMM,3M,32370.0,Jim McNerney Jr,Chairman/CEO,2001-01-01,2005-06-30 00:00:00.000000,BA,2001.0,2005.0,Yale University,89.43846153846154
MMM,3M,1310783.0,Mike Roman,Chairman/President/CEO,2019-06-01,2023-09-01 00:00:00.000000,BS,2019.0,2023.0,University of Minnesota,66.3
MMM,3M,534445.0,Inge Thulin,Chairman Elect/President/CEO,2012-02-24,2012-05-08 00:00:00.000000,MBA,2012.0,2012.0,AGH University of Science and Technology,17.925
MMM,3M,534445.0,Inge Thulin,Chairman Elect/President/CEO,2012-02-24,2012-05-08 00:00:00.000000,Graduated,2012.0,2012.0,University of Gothenburg,52.9
MMM,3M,534445.0,Inge Thulin,Chairman/President/CEO,2012-05-08,2018-07-01 00:00:00.000000,Graduated,2012.0,2018.0,University of Gothenburg,52.9
