ticker,spindex
AAON,S&P 600
AIR,S&P 600
ABM,S&P 600
AFL,S&P 500
ATEN,S&P 600
AGCO,S&P 400
AES,S&P 500
AMCX,S&P 600
AMN,S&P 600
ANIP,S&P 600
ASGN,S&P 400
T,S&P 500
ATNI,S&P 600
AZZ,S&P 600
AAN,S&P 600
ABT,S&P 500
ABBV,S&P 500
ANF,S&P 600
ASO,S&P 600
ACHC,S&P 400
AKR,S&P 600
ACIW,S&P 600
ADTN,S&P 600
,S&P 500
AYI,S&P 400
AHCO,S&P 600
ADUS,S&P 600
ADEA,S&P 600
ADBE,S&P 500
ATGE,S&P 600
AAP,S&P 600
ACM,S&P 400
ASIX,S&P 600
AMD,S&P 500
WMS,S&P 400
AEIS,S&P 600
AVAV,S&P 600
AMG,S&P 400
A,S&P 500
AGYS,S&P 600
AGTI,S&P 600
ADC,S&P 400
ABNB,S&P 500
APD,S&P 500
AKAM,S&P 500
ALG,S&P 600
ALRM,S&P 600
ALK,S&P 600
AIN,S&P 600
ALB,S&P 500
AA,S&P 400
ALEX,S&P 600
ARE,S&P 500
ALGN,S&P 500
ATI,S&P 600
ALGT,S&P 600
ALGM,S&P 400
ALE,S&P 400
BFH,S&P 600
LNT,S&P 500
ALL,S&P 500
ALLY,S&P 400
AMR,S&P 600
GOOGL,S&P 500
MO,S&P 500
AMZN,S&P 500
AMBC,S&P 600
AMED,S&P 400
AEE,S&P 500
AAL,S&P 500
AAT,S&P 600
AXL,S&P 600
AEP,S&P 500
AEO,S&P 600
AEL,S&P 600
AXP,S&P 500
AFG,S&P 400
AIG,S&P 500
AWR,S&P 600
AMT,S&P 500
AVD,S&P 600
AWK,S&P 500
AMWD,S&P 600
CRMT,S&P 600
AMSF,S&P 600
COR,S&P 500
AMP,S&P 500
ABCB,S&P 600
AME,S&P 500
AMGN,S&P 500
AMKR,S&P 400
APH,S&P 500
AMPH,S&P 600
ADI,S&P 500
ANDE,S&P 600
ANGO,
ANIK,S&P 600
NLY,S&P 400
ANSS,S&P 500
AR,S&P 400
ELV,S&P 500
AM,S&P 400
APA,S&P 500
AIRC,S&P 400
APOG,S&P 600
ARI,S&P 600
AMEH,S&P 600
AAPL,S&P 500
APLE,S&P 600
AIT,S&P 600
AMAT,S&P 500
ATR,S&P 400
ARMK,S&P 400
ABR,S&P 600
ARCB,S&P 600
ADM,S&P 500
AROC,S&P 600
ACA,S&P 600
RCUS,S&P 600
ANET,S&P 500
ARLO,S&P 600
AHH,S&P 600
ARR,S&P 600
AWI,S&P 600
ARW,S&P 400
ARWR,S&P 400
APAM,S&P 600
ABG,S&P 600
ASH,S&P 400
ASB,S&P 400
AIZ,S&P 500
ASTE,S&P 600
AUB,S&P 600
ATO,S&P 500
CHX,S&P 400
ADSK,S&P 500
ALV,S&P 400
ADP,S&P 500
AN,S&P 400
AZO,S&P 500
AVB,S&P 500
AVNS,S&P 600
AVY,S&P 500
AVID,S&P 600
CDMO,S&P 600
AVNT,S&P 400
CAR,S&P 400
AVA,S&P 600
AVT,S&P 400
ACLS,S&P 600
AXON,S&P 500
AX,S&P 600
BGS,S&P 600
BJ,S&P 400
RILY,S&P 600
BWXT,S&P 400
BMI,S&P 600
BKR,S&P 500
BCPC,S&P 600
BALL,S&P 500
BANF,S&P 600
TBBK,S&P 600
BANC,S&P 600
BAC,S&P 500
BKU,S&P 600
BOH,S&P 600
BK,S&P 500
OZK,S&P 400
BANR,S&P 600
B,S&P 600
BBWI,S&P 500
BAX,S&P 500
BDX,S&P 500
BDC,S&P 400
BRBR,S&P 400
BHE,S&P 600
WRB,S&P 500
