ticker,uniscoreavg,bachelors,masters,mba,phd,internal_promotion,tenure,founder,is_co_ceo,female_pct,diversity_board,shannon,spindex,num_committees,dirs,over75_pct,num_meetings,avg_meetings,roachange
A,18.5,True,True,False,False,True,0.0,False,False,0.2727272727272727,False,0.8855741515766717,S&P 500,9.0,40.0,1.0,11.0,1.2222222222222223,Slight Decrease
AA,50.343121693121695,True,True,False,False,True,1.0,False,False,0.3333333333333333,True,0.3488320958430319,S&P 400,6.0,16.0,1.0,9.0,1.5,Significant Decrease
AAL,65.37619047619047,True,False,True,False,True,2.0,False,False,0.25,False,0.9830877585747856,S&P 500,7.0,21.0,1.0,13.0,1.8571428571428572,Moderate Increase
AAN,54.71785714285714,True,False,True,False,False,4.0,False,False,0.375,False,0.3767701612564367,S&P 600,3.0,8.0,1.0,8.0,2.6666666666666665,Significant Decrease
AAON,,False,False,False,False,True,0.0,False,False,0.25,False,0.7356219397587946,S&P 600,3.0,15.0,1.0,8.0,2.6666666666666665,Significant Increase
AAP,54.84404761904762,True,False,True,False,False,1.0,False,False,0.3333333333333333,False,0.6837389058487535,S&P 600,5.0,36.0,1.0,9.0,1.8,Significant Increase
AAPL,55.49325396825397,True,False,True,False,True,13.0,False,False,0.3333333333333333,False,1.002718264517516,S&P 500,5.0,12.0,1.0,9.0,1.8,Slight Decrease
ABBV,,False,False,False,False,False,11.0,False,False,0.2727272727272727,True,0.6001660731596457,S&P 500,6.0,15.0,1.0,11.0,1.8333333333333333,Slight Decrease
ABCB,42.18253968253968,True,False,False,False,False,5.0,False,False,0.1538461538461538,False,0.6870920273799715,S&P 600,11.0,24.0,1.0,13.0,1.181818181818182,Slight Decrease
ABG,,False,False,False,False,True,6.0,False,False,0.3333333333333333,False,0.5297061990576545,S&P 600,8.0,23.0,1.0,9.0,1.125,Moderate Decrease
ABM,30.450000000000003,True,False,True,False,True,9.0,False,False,0.3,False,0.9404479886553264,S&P 600,9.0,25.0,1.0,10.0,1.1111111111111112,Slight Decrease
ABNB,35.449999999999996,True,False,False,False,False,4.0,False,False,0.25,False,1.073542846408523,S&P 500,4.0,11.0,1.0,8.0,2.0,Stable
ABR,38.69166666666666,True,False,False,False,True,1.0,False,False,0.125,False,0.3767701612564367,S&P 600,7.0,22.0,1.0,8.0,1.1428571428571428,Slight Increase
ABT,69.21071428571429,True,False,True,False,True,3.0,False,False,0.4166666666666667,False,0.7214636866925115,S&P 500,6.0,32.0,1.0,12.0,2.0,Moderate Decrease
ACA,50.73973214285714,True,False,True,False,False,6.0,False,False,0.3,True,0.5004024235381879,S&P 600,4.0,10.0,1.0,10.0,2.5,Slight Decrease
ACHC,47.8353835978836,True,False,True,False,False,2.0,False,False,0.2,False,0.3250829733914482,S&P 400,6.0,15.0,1.0,10.0,1.6666666666666667,Stable
ACIW,44.691798941798936,True,True,False,False,True,1.0,False,False,0.2857142857142857,False,0.796311640173813,S&P 600,7.0,22.0,1.0,7.0,1.0,Stable
ACLS,60.89550264550265,True,False,True,True,True,1.0,False,False,0.3333333333333333,False,1.002718264517516,S&P 600,6.0,21.0,1.0,9.0,1.5,Moderate Decrease
ACM,38.57589285714286,True,True,False,False,True,4.0,False,False,0.375,True,0.3767701612564367,S&P 400,7.0,28.0,1.0,8.0,1.1428571428571428,Slight Increase
ACN,67.63928571428572,True,False,False,True,True,2.0,False,False,0.5555555555555556,True,1.2730283365896256,S&P 500,7.0,27.0,1.0,9.0,1.2857142857142858,Slight Decrease
ADBE,46.55922619047619,True,True,True,False,True,7.0,False,False,0.3333333333333333,True,0.7214636866925115,S&P 500,7.0,24.0,1.0,12.0,1.7142857142857142,Significant Decrease
ADC,60.43809523809524,True,False,False,True,True,11.0,False,False,0.2222222222222222,False,0.6837389058487535,S&P 400,5.0,17.0,1.0,9.0,1.8,Slight Increase
ADI,32.43333333333333,True,False,False,False,True,2.0,False,False,0.3636363636363636,False,0.8855741515766717,S&P 500,6.0,28.0,1.0,11.0,1.8333333333333333,Stable
ADM,16.2,True,False,False,False,True,8.0,False,False,0.3636363636363636,True,1.1685184057430875,S&P 500,11.0,40.0,1.0,11.0,1.0,Stable
ADP,58.35,True,False,False,False,True,1.0,False,False,0.4166666666666667,False,0.5660857389596289,S&P 500,7.0,32.0,1.0,12.0,1.7142857142857142,Moderate Increase
ADSK,48.27916666666667,True,True,False,False,True,0.0,False,True,0.4545454545454545,False,0.6001660731596457,S&P 500,5.0,28.0,1.0,11.0,2.2,Stable
ADTN,28.772222222222226,True,False,False,False,True,2.0,False,False,0.3333333333333333,False,1.002718264517516,S&P 600,5.0,13.0,1.0,9.0,1.8,Moderate Decrease
ADUS,33.79424242424242,True,True,True,False,True,3.0,False,False,0.4444444444444444,False,0.6837389058487535,S&P 600,4.0,12.0,1.0,9.0,2.25,Slight Increase
AEE,48.46785714285715,True,True,True,False,True,1.0,False,False,0.2857142857142857,True,0.7589367727620596,S&P 500,14.0,37.0,1.0,14.0,1.0,Stable
AEIS,55.838392857142864,True,False,False,True,False,3.0,False,False,0.3,True,0.3250829733914482,S&P 600,5.0,21.0,1.0,10.0,2.0,Moderate Decrease
AEL,23.325000000000003,True,False,True,False,False,4.0,False,False,0.2,False,0.3250829733914482,S&P 600,9.0,20.0,1.0,10.0,1.1111111111111112,Significant Increase
AEO,,False,False,False,False,True,1.0,False,True,0.4285714285714285,False,0.410116318288409,S&P 600,5.0,15.0,1.0,7.0,1.4,Moderate Increase
AEP,50.989285714285714,True,True,False,False,True,0.0,False,False,0.4615384615384615,False,0.8305178252872478,S&P 500,9.0,39.0,1.0,13.0,1.4444444444444444,Slight Decrease
AES,33.52193732193732,True,True,False,True,True,13.0,False,False,0.5,False,1.0888999753452238,S&P 500,11.0,34.0,1.0,10.0,0.9090909090909092,Slight Decrease
AFG,41.542857142857144,True,False,False,False,True,1.0,False,True,0.1818181818181818,False,0.3046360973492381,S&P 400,5.0,18.0,1.0,11.0,2.2,Stable
AFL,37.37777777777777,True,False,False,False,False,1.0,False,False,0.4545454545454545,True,0.9075352941050092,S&P 500,11.0,30.0,1.0,11.0,1.0,Stable
AGCO,63.588186813186816,True,True,True,False,True,3.0,False,False,0.3,True,0.8018185525433373,S&P 400,10.0,31.0,1.0,10.0,1.0,Moderate Increase
AGO,36.81666666666667,True,True,True,False,False,21.0,False,False,0.2727272727272727,False,0.8599672810355049,S&P 600,7.0,22.0,1.0,11.0,1.5714285714285714,Significant Decrease
AGTI,30.450000000000003,True,False,True,False,True,0.0,False,False,0.1818181818181818,False,0.3046360973492381,S&P 600,4.0,8.0,1.0,11.0,2.75,Slight Decrease
AGYS,62.89821428571429,True,True,True,False,False,7.0,False,False,0.1428571428571428,False,0.796311640173813,S&P 600,6.0,25.0,1.0,7.0,1.1666666666666667,Stable
AHCO,82.21428571428571,True,False,False,False,False,0.0,False,True,0.1111111111111111,False,0.5297061990576545,S&P 600,4.0,11.0,1.0,9.0,2.25,Stable
AHH,,False,False,False,False,False,6.0,False,False,0.1111111111111111,False,0.3488320958430319,S&P 600,3.0,8.0,1.0,9.0,3.0,Slight Decrease
AIG,48.9436507936508,True,False,True,False,True,2.0,False,False,0.5,False,0.5004024235381879,S&P 500,14.0,56.0,1.0,10.0,0.7142857142857143,Slight Decrease
AIN,36.399537037037035,True,False,True,False,False,1.0,False,False,0.2222222222222222,False,0.3488320958430319,S&P 600,3.0,25.0,1.0,9.0,3.0,Slight Decrease
AIR,66.99478021978021,True,False,True,False,True,1.0,False,False,0.2,False,0.3250829733914482,S&P 600,7.0,28.0,1.0,10.0,1.4285714285714286,Slight Increase
AIRC,94.02142857142856,True,False,False,True,False,4.0,False,False,0.4444444444444444,False,1.002718264517516,S&P 400,4.0,11.0,1.0,9.0,2.25,Stable
AIT,43.83333333333333,True,False,True,False,False,2.0,False,False,0.3333333333333333,True,0.3488320958430319,S&P 600,7.0,25.0,1.0,9.0,1.2857142857142858,Slight Increase
AIZ,42.534615384615385,True,False,False,False,True,2.0,False,False,0.3076923076923077,False,0.937155853065701,S&P 500,8.0,27.0,1.0,13.0,1.625,Stable
AJG,76.33571428571429,True,False,False,False,True,0.0,False,False,0.2222222222222222,False,0.5297061990576545,S&P 500,7.0,19.0,1.0,9.0,1.2857142857142858,Slight Decrease
AKAM,93.12142857142857,True,False,False,True,True,11.0,False,False,0.3,False,0.8018185525433373,S&P 500,6.0,27.0,1.0,10.0,1.6666666666666667,Slight Decrease
ALB,75.9857142857143,True,False,True,False,True,4.0,False,False,0.3,True,0.8018185525433373,S&P 500,12.0,31.0,1.0,10.0,0.8333333333333334,Slight Decrease
ALE,63.375,True,False,False,True,True,3.0,False,False,0.5,False,0.5004024235381879,S&P 400,6.0,29.0,1.0,10.0,1.6666666666666667,Stable
ALEX,88.55714285714285,True,False,True,False,True,0.0,False,False,0.2857142857142857,False,0.6829081047004717,S&P 600,3.0,13.0,1.0,7.0,2.3333333333333335,Slight Decrease
ALG,60.278571428571425,True,False,False,False,True,3.0,False,False,0.375,False,0.3767701612564367,S&P 600,4.0,16.0,1.0,8.0,2.0,Moderate Increase
ALGM,42.9515873015873,True,True,True,False,False,2.0,False,False,0.0909090909090909,False,0.9164648855394713,S&P 400,4.0,11.0,0.0,11.0,2.75,Moderate Increase
ALGN,17.0625,True,False,True,False,False,9.0,False,False,0.375,False,0.9002560512685369,S&P 500,5.0,15.0,1.0,8.0,1.6,Slight Decrease
ALGT,30.075000000000003,True,True,False,False,True,0.0,False,False,0.25,False,0.7356219397587946,S&P 600,5.0,13.0,1.0,8.0,1.6,Moderate Increase
ALK,54.97380952380953,True,True,False,False,True,3.0,False,False,0.3636363636363636,False,1.0335620542068176,S&P 600,9.0,25.0,1.0,11.0,1.2222222222222223,Moderate Increase
ALKS,94.35,True,False,False,False,False,13.0,False,False,0.3571428571428571,False,0.6559757323365467,S&P 600,7.0,20.0,1.0,14.0,2.0,Slight Decrease
