ticker,directorid,rolename
0BOE,32370.0,Chairman/CEO
0BOE,32370.0,Chairman/President/CEO
0BOE,32458.0,President/CEO
0BOE,33159.0,Chairman/President/CEO
0BOE,34596.0,Chairman/CEO
0BOE,34596.0,President/CEO
0BOE,34602.0,President/CEO
0BOE,34603.0,Executive VP/Division President/CEO
0BOE,34627.0,Senior VP/Division President/CEO
0BOE,34687.0,Executive VP/Division President/CEO
0BOE,34694.0,Senior VP/Division President/CEO
0BOE,160070.0,Interim President/CEO/CFO
0BOE,590075.0,Executive VP/Division President/CEO
0BOE,881225.0,Executive VP/Division President/CEO
0BOE,881229.0,Chairman/President/CEO
0BOE,881229.0,Executive VP/Division President/CEO
0BOE,881229.0,President/CEO
0BOE,881230.0,Division President/Division CEO
0BOE,1072987.0,Interim CEO
0BOE,1126864.0,Executive VP/Division President/CEO
0BOE,1349686.0,Executive VP/Division President/CEO
0BOE,1377316.0,Executive VP/Division President/CEO
0BOE,1692751.0,Division President/CEO
0BOE,1706994.0,Division CEO
0BOE,1916486.0,Division CEO
0BOE,1996295.0,Division President/CEO
0BOE,1996301.0,Division Interim CEO
0BOE,2295525.0,Division President/CEO
0BOE,2385438.0,Division President/CEO
0BOE,2389477.0,Division President/CEO
1316,2477177.0,Chairman/CEO
1521,647438.0,Chairman/CEO
1521,1092258.0,CEO
1878,443563.0,Interim President/CEO
1878,443592.0,CEO
1878,836597.0,President/CEO
1878,1537908.0,Interim CEO
1878,1596205.0,CEO
1878,1596205.0,Chairman/CEO
1CLB,600107.0,Chairman (Executive)/Interim CEO
1CLB,600107.0,Chairman/President/CEO
1CLB,600107.0,President/CEO
1CLB,1483360.0,President/CEO
2012,993129.0,Interim President/CEO
2012,1406892.0,CEO
2012,1406892.0,Interim CEO
2012,1482096.0,CEO
2012,2036839.0,CTO/Interim CEO
38G,347493.0,President/CEO
38G,377970.0,Chairman/CEO
38G,378020.0,President/CEO
38G,440327.0,Interim President/CEO
38G,730344.0,President/CEO
3FI,41781.0,Chairman/CEO
3FI,41781.0,Chairman/President/CEO
3O6,180650.0,Chairman/Interim President/CEO
3O6,503551.0,President/CEO
3O6,503573.0,Interim President/CEO/CFO/Secretary
68V,35962.0,Chairman/CEO
68V,35962.0,Chairman/President/CEO
68V,35962.0,President/CEO
68V,38106.0,Interim Chairman/CEO/President
68V,38291.0,Chairman/President/CEO
68V,38291.0,President/CEO
68V,456595.0,Chairman/President/CEO
68V,456595.0,President/CEO
68V,1074701.0,Division President/CEO
68V,1270183.0,Regional President/CEO
68V,1360522.0,Division President/CEO
68V,1378316.0,Division President/CEO
68V,1911315.0,Division President/Division CEO
68V,2796860.0,Division CEO
6MK,5237.0,Chairman/CEO
6MK,5237.0,Chairman/President/CEO
6MK,5237.0,President/CEO
6MK,31551.0,Chairman/CEO
6MK,31551.0,Chairman/President/CEO
6MK,31551.0,President/CEO/Principal Executive Officer
6MK,34076.0,Chairman/CEO
6MK,34076.0,Chairman/President/CEO
6MK,34076.0,VP/CEO
6MK,485800.0,Chairman/President/CEO
6MK,485800.0,President/CEO
9618,2287858.0,CEO
9618,2287858.0,CEO/Division CEO
9618,2411711.0,Division CEO
9618,2434785.0,Division CEO
9999,790575.0,CEO
