ticker,roachange
A,Slight Decrease
AA,Significant Decrease
AAA,Significant Decrease
AAAB,Stable
AAABB,Slight Decrease
AABC,Slight Decrease
AAC,Significant Decrease
AACC,Moderate Decrease
AACE,Slight Decrease
AACI,Significant Increase
AACIB,Moderate Decrease
AADI,Slight Decrease
AADV,Stable
AAE,Moderate Increase
AAF,Stable
AAFG,Significant Decrease
AAG,Slight Decrease
AAGC,Moderate Increase
AAGP,Significant Increase
AAHS,Moderate Increase
AAI,Slight Decrease
AAII,Moderate Decrease
AAIR,Moderate Increase
AAL,Moderate Increase
AALR,Moderate Increase
AALS,Slight Decrease
AAM,Stable
AAMC,Moderate Increase
AAME,Stable
AAN,Significant Decrease
AANB,Moderate Decrease
AAOI,Slight Increase
AAON,Significant Increase
AAP,Significant Increase
AAPL,Slight Decrease
AAR,Moderate Increase
AARC,Significant Decrease
AAS,Slight Decrease
AASI,
AASP,Moderate Increase
AASS,Moderate Decrease
AAST,Stable
AATC,Moderate Decrease
AATI,Moderate Increase
AATK,Slight Increase
AATT,Significant Decrease
AAV,Moderate Increase
AAVL,Significant Increase
AAWW,Moderate Decrease
AAX,Moderate Decrease
AAXN,Slight Increase
AB,Moderate Decrease
ABA,Slight Increase
ABAG,Moderate Decrease
ABAI,Moderate Increase
ABAN,Slight Decrease
ABAT,Significant Decrease
ABAX,Moderate Decrease
ABBC,Slight Increase
ABBI,Slight Decrease
ABBK,Slight Decrease
ABBV,Slight Decrease
ABBY,Slight Increase
ABC,Slight Decrease
ABCB,Slight Decrease
ABCC,Significant Increase
ABCD,Slight Decrease
ABCI,Slight Decrease
ABCL,Stable
ABCN,Stable
ABCO,Slight Decrease
ABCR,Slight Decrease
ABCW,Slight Increase
ABD,Slight Increase
ABDN,
ABDR,Significant Decrease
ABE,Slight Increase
ABEO,Significant Decrease
ABEV,Moderate Decrease
ABF,Slight Decrease
ABFI,Moderate Decrease
ABFS,Moderate Increase
ABG,Moderate Decrease
ABGA,Slight Decrease
ABGX,Slight Decrease
ABH,Slight Increase
ABI,Moderate Increase
ABIG,Slight Decrease
ABII,Stable
ABIO,Moderate Increase
ABIX,Moderate Decrease
ABIZ,Slight Increase
ABK,Stable
ABKC,Slight Decrease
ABKP,Stable
ABKR,Slight Decrease
ABLE,Moderate Decrease
ABM,Slight Decrease
ABMC,Moderate Decrease
ABMD,Moderate Decrease
ABMI,Stable
ABN,Moderate Decrease
ABNB,Stable
ABNC,Slight Decrease
ABNJ,Stable
ABNY,Slight Decrease
ABOS,Significant Decrease
ABOT,Moderate Increase
ABP,Moderate Increase
ABPCA,Stable
ABPI,Significant Decrease
ABR,Slight Increase
ABRI,Slight Decrease
ABRS,Significant Decrease
ABRX,Moderate Increase
ABS,Slight Decrease
ABSB,Moderate Increase
ABSC,Significant Decrease
ABSI,Slight Decrease
ABSO,Significant Decrease
ABT,Moderate Decrease
ABTC,Moderate Decrease
ABTE,Significant Decrease
ABTI,Moderate Increase
ABTL,Slight Decrease
ABTX,Moderate Decrease
ABUD,Slight Decrease
ABVA,Slight Decrease
ABVC,Significant Increase
ABVT,Moderate Increase
ABW,Slight Decrease
ABWG,Significant Decrease
ABXA,Slight Decrease
ABY,Moderate Decrease
AC,Slight Decrease
ACA,Slight Decrease
ACAD,Moderate Increase
ACAI,Significant Decrease
ACAL,Stable
ACAM,Significant Decrease
ACAP,Slight Decrease
ACAR,Significant Decrease
ACAS,Stable
ACAT,Significant Decrease
ACBA,Slight Decrease
ACBI,Stable
ACC,Stable
ACCC,Slight Decrease
ACCD,Slight Decrease
ACCI,Significant Increase
ACCL,Slight Increase
ACCM,Significant Decrease
ACCMA,Significant Decrease
ACCO,Stable
ACCOB,Slight Decrease
ACCS,Moderate Increase
ACCU,Significant Decrease
ACCX,Moderate Decrease
ACD,Moderate Decrease
ACDO,Slight Decrease
ACE,Significant Decrease
ACEC,Significant Decrease
ACEL,Slight Decrease
ACEP,Stable
ACER,Significant Decrease
ACES,Significant Decrease
ACET,Moderate Increase
ACF,Moderate Increase
ACFC,Slight Decrease
ACH,Moderate Decrease
ACHC,Stable
ACHI,Moderate Decrease
ACHN,Moderate Decrease
ACHP,Significant Decrease
ACHR,Significant Decrease
ACHV,Significant Decrease
ACI,Slight Decrease
ACIA,Moderate Increase
ACII,Significant Increase
ACIS,Slight Increase
ACIT,Moderate Increase
ACIW,Stable
ACK,Slight Increase
ACL,Moderate Decrease
ACLA,Moderate Increase
ACLB,Slight Decrease
ACLI,Slight Decrease
ACLP,Significant Increase
ACLR,Moderate Decrease
ACLS,Moderate Decrease
ACLV,Slight Increase
ACLX,Significant Increase
ACLY,Significant Decrease
ACM,Slight Increase
ACME,Significant Decrease
ACMI,Significant Decrease
ACMM,Slight Decrease
ACMR,Stable
ACMS,Slight Decrease
ACMT,Significant Decrease
ACMTA,Slight Decrease
ACN,Slight Decrease
ACNB,Stable
ACNS,Slight Decrease
ACNT,Significant Decrease
ACO,Moderate Decrease
ACOI,
ACOK,Moderate Increase
ACOL,Moderate Increase
ACOM,Significant Decrease
ACON,Significant Increase
ACOR,Moderate Increase
ACPI,Slight Increase
ACQN,Slight Decrease
ACR,Slight Increase
ACRA,Moderate Increase
ACRCA,Slight Decrease
ACRG,Moderate Decrease
ACRI,Moderate Increase
ACRL,Slight Increase
ACRN,Stable
ACRO,Significant Decrease
ACRS,Significant Decrease
ACRT,Slight Increase
ACRU,Significant Decrease
ACRX,Significant Decrease
ACS,Slight Decrease
ACSA,Slight Decrease
ACSC,Significant Increase
ACSE,Slight Decrease
