name,uniscoreavg
AGH University of Science and Technology,17.925
Aalborg University,44.83125
Aalto University,45.95625
Aarhus University,56.5923076923077
Abdelmalek Essaâdi University,21.35
Abdul Wali Khan University Mardan,36.53333333333333
Aberystwyth University,36.35625
Abu Dhabi University,47.85
Acharya Nagarjuna University,20.8
Acıbadem University,17.9625
"Adam Mickiewicz University, Poznań",18.625
Addis Ababa University,39.525000000000006
Adolfo Ibáñez University,18.483333333333334
Ahvaz Jundishapur University of Medical Sciences (AJUMS),35.775000000000006
Aichi Medical University,22.28
Ain Shams University,20.128571428571426
Aix-Marseille University,39.86875
Ajou University,24.25
Akdeniz University,17.45
Akita University,15.258333333333333
Aksaray University,16.150000000000002
Al-Azhar University,21.0
Al-Balqa Applied University,29.9625
Al-Farabi Kazakh National University,20.0
Alagappa University,41.475
Alexandria University,21.844444444444445
Alexandru Ioan Cuza University,13.8875
Alfaisal University,42.67142857142857
Aligarh Muslim University,23.21875
Altai State University,21.35
Alzahra University,15.258333333333333
Amedeo Avogadro University of Eastern Piedmont,32.7875
American University,34.95
American University in Cairo,27.571428571428573
American University of Beirut,35.66875
American University of Sharjah,23.8125
Amirkabir University of Technology,29.43125
Amity University,16.807142857142857
Amrita Vishwa Vidyapeetham,21.5
An-Najah National University,41.55
Anadolu University,15.00625
Andhra University,14.7625
Anglia Ruskin University (ARU),45.457142857142856
Ankara University,15.992857142857144
Anna University,23.862499999999997
Annamalai University,16.283333333333335
Aoyama Gakuin University,15.84
"Arab Academy for Science, Technology and Maritime Transport",18.9
Arak University,18.483333333333334
Arak University of Medical Sciences,43.5
Ariel University,18.483333333333334
Aristotle University of Thessaloniki,28.66875
Arizona State University (Tempe),53.861538461538466
Arts et Métiers,28.299999999999997
"Asia University, Taiwan",25.275
Assiut University,19.78333333333333
Aston University,35.95625
Aswan University,42.0375
Atatürk University,21.25
Ateneo de Manila University,45.95
Athens University of Economics and Business,26.549999999999997
Atılım University,25.457142857142856
Auburn University,26.91875
Auckland University of Technology,39.0625
Austral University of Chile,16.98125
Australian Catholic University,41.00714285714286
Australian National University,70.01538461538462
Autonomous University of Baja California,15.258333333333333
Autonomous University of Barcelona,55.6375
Autonomous University of Madrid,39.14375
Autonomous University of San Luis Potosi,16.133333333333333
Autonomous University of Sinaloa,19.966666666666665
