rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,stats_proportion_of_isr,aliases,subjects_offered,closed,unaccredited
10,1,University of Oxford,98.5,10,96.6,5,100.0,2,99.0,5,98.7,77,97.5,14,United Kingdom,"21,750",10.9,42%,49 : 51,23%,University of Oxford,"Geography,Chemistry,Chemical Engineering,Biological Sciences,General Engineering,Computer Science,Art, Performing Arts & Design,Communication & Media Studies,Electrical & Electronic Engineering,Law,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Medicine & Dentistry,Languages, Literature & Linguistics,Business & Management,Accounting & Finance,Mechanical & Aerospace Engineering,Mathematics & Statistics,Physics & Astronomy,Psychology,Other Health,Archaeology,Sociology,Civil Engineering,Education",False,False
20,2,Stanford University,98.0,20,99.0,1,97.8,8,99.6,2,100.0,25,87.0,168,United States,"14,517",6.4,23%,47 : 53,22%,Stanford University,"Computer Science,Communication & Media Studies,Electrical & Electronic Engineering,Mathematics & Statistics,Education,Medicine & Dentistry,Civil Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Veterinary Science,Economics & Econometrics,Other Health,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Mechanical & Aerospace Engineering,Chemistry,Sociology,Art, Performing Arts & Design,Chemical Engineering,Business & Management,General Engineering,Physics & Astronomy,Archaeology,Agriculture & Forestry,Law,Languages, Literature & Linguistics,Biological Sciences,Psychology",False,False
30,3,Massachusetts Institute of Technology,97.9,30,98.6,2,96.2,11,99.7,1,100.0,16,93.8,66,United States,"11,085",8.0,33%,41 : 59,40%,Massachusetts Institute of Technology,"Architecture,Economics & Econometrics,Archaeology,Biological Sciences,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Psychology,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Mathematics & Statistics,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,General Engineering,Art, Performing Arts & Design,Other Health,Physics & Astronomy,Computer Science,Accounting & Finance,Chemical Engineering,Business & Management,Electrical & Electronic Engineering,Communication & Media Studies,Chemistry",False,False
40,4,Harvard University,97.8,40,97.7,3,99.9,3,99.4,3,84.2,216,90.8,120,United States,"20,050",9.0,25%,51 : 49,12%,Harvard University,"Sociology,Architecture,Physics & Astronomy,Psychology,Mechanical & Aerospace Engineering,Law,Electrical & Electronic Engineering,Medicine & Dentistry,Communication & Media Studies,Mathematics & Statistics,History, Philosophy & Theology,Languages, Literature & Linguistics,Agriculture & Forestry,Education,Computer Science,Business & Management,Geography,Accounting & Finance,Politics & International Studies (incl Development Studies),Chemistry,Archaeology,Art, Performing Arts & Design,Other Health,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,General Engineering,Civil Engineering",False,False
50,5,University of Cambridge,97.5,50,95.8,7,100.0,1,98.0,12,87.9,180,97.4,15,United Kingdom,"20,565",11.5,38%,48 : 52,27%,University of Cambridge,"Politics & International Studies (incl Development Studies),Biological Sciences,Business & Management,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Psychology,General Engineering,Physics & Astronomy,Chemical Engineering,Chemistry,Economics & Econometrics,History, Philosophy & Theology,Computer Science,Accounting & Finance,Education,Veterinary Science,Electrical & Electronic Engineering,Geography,Other Health,Architecture,Art, Performing Arts & Design,Law,Mechanical & Aerospace Engineering,Sociology,Medicine & Dentistry,Archaeology,Languages, Literature & Linguistics",False,False
60,6,Princeton University,96.9,60,96.3,6,97.9,7,98.8,7,95.1,118,89.1,136,United States,"7,753",7.3,23%,47 : 53,43%,Princeton University,"History, Philosophy & Theology,Agriculture & Forestry,Economics & Econometrics,Languages, Literature & Linguistics,Architecture,Sociology,General Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Chemistry,Mechanical & Aerospace Engineering,Physics & Astronomy,Civil Engineering,Mathematics & Statistics,Electrical & Electronic Engineering,Biological Sciences,Computer Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Chemical Engineering,Psychology",False,False
70,7,California Institute of Technology,96.5,70,96.6,4,98.0,6,95.9,38,100.0,2,90.6,124,United States,"2,240",6.1,33%,37 : 63,49%,California Institute of Technology caltech,"Computer Science,Chemistry,Chemical Engineering,Mathematics & Statistics,Physics & Astronomy,Economics & Econometrics,Languages, Literature & Linguistics,General Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Civil Engineering,Biological Sciences,Electrical & Electronic Engineering,Business & Management",False,False
80,8,Imperial College London,95.1,80,90.9,12,95.5,12,98.6,8,90.9,157,98.3,6,United Kingdom,"20,275",11.8,61%,42 : 58,28%,Imperial College London,"Computer Science,Mechanical & Aerospace Engineering,Chemical Engineering,Physics & Astronomy,Other Health,Mathematics & Statistics,Electrical & Electronic Engineering,Chemistry,Medicine & Dentistry,General Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Civil Engineering",False,False
90,9,"University of California, Berkeley",94.6,90,87.2,18,98.8,4,99.0,4,99.4,63,86.8,172,United States,"39,991",17.9,22%,52 : 48,36%,"University of California, Berkeley","Chemistry,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Mathematics & Statistics,Archaeology,History, Philosophy & Theology,Law,Agriculture & Forestry,Education,Communication & Media Studies,Other Health,Art, Performing Arts & Design,Civil Engineering,Mechanical & Aerospace Engineering,Psychology,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Chemical Engineering,Architecture,Geography,Economics & Econometrics,Biological Sciences,Sociology,General Engineering,Physics & Astronomy,Business & Management",False,False
100,10,Yale University,94.2,100,94.0,10,94.9,13,97.7,18,86.5,192,82.4,217,United States,"11,924",5.2,21%,51 : 49,13%,Yale University,"Law,Computer Science,Electrical & Electronic Engineering,Chemical Engineering,Economics & Econometrics,Accounting & Finance,Archaeology,Mechanical & Aerospace Engineering,Business & Management,Medicine & Dentistry,Mathematics & Statistics,Art, Performing Arts & Design,Architecture,Sociology,Politics & International Studies (incl Development Studies),Biological Sciences,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Languages, Literature & Linguistics,General Engineering,Physics & Astronomy,Chemistry,Other Health,Psychology",False,False
110,11,ETH Zurich,93.1,110,87.6,16,96.8,10,95.6,41,82.9,229,95.6,36,Switzerland,"22,619",15.4,43%,33 : 67,43%,ETH Zurich,"Mechanical & Aerospace Engineering,Education,Agriculture & Forestry,Mathematics & Statistics,Chemical Engineering,Accounting & Finance,Electrical & Electronic Engineering,Business & Management,Medicine & Dentistry,Economics & Econometrics,Other Health,Chemistry,Architecture,Civil Engineering,Sport Science,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Computer Science,Physics & Astronomy,General Engineering,Politics & International Studies (incl Development Studies)",False,False
120,12,Tsinghua University,92.4,120,95.3,9,98.1,5,93.2,73,99.9,38,51.7,752,China,"38,518",11.2,10%,,42%,Tsinghua University Qinghua University Tsing hua University Qing hua University,"Mechanical & Aerospace Engineering,Sociology,Architecture,Civil Engineering,Politics & International Studies (incl Development Studies),Other Health,Chemistry,Accounting & Finance,Archaeology,Physics & Astronomy,Business & Management,Electrical & Electronic Engineering,Geography,Medicine & Dentistry,Chemical Engineering,Psychology,History, Philosophy & Theology,Mathematics & Statistics,Law,Languages, Literature & Linguistics,Biological Sciences,Education,General Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Art, Performing Arts & Design,Computer Science,Sport Science,Communication & Media Studies",False,False
130,13,The University of Chicago,92.1,130,89.6,13,91.2,19,97.6,20,93.8,129,82.3,220,United States,"15,792",6.2,36%,47 : 53,29%,The University of Chicago,"Chemistry,Languages, Literature & Linguistics,Biological Sciences,Economics & Econometrics,Medicine & Dentistry,Law,Archaeology,Sociology,Geology, Environmental, Earth & Marine Sciences,Business & Management,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Physics & Astronomy,Chemical Engineering,Computer Science,Psychology,History, Philosophy & Theology,Mathematics & Statistics,Accounting & Finance",False,False
140,14,Peking University,91.8,140,95.6,8,97.3,9,87.2,172,98.8,72,70.2,405,China,"33,064",10.9,14%,,33%,Peking University,"History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Politics & International Studies (incl Development Studies),Archaeology,Communication & Media Studies,Business & Management,Other Health,Physics & Astronomy,Economics & Econometrics,Mechanical & Aerospace Engineering,Sociology,Medicine & Dentistry,Chemistry,Accounting & Finance,Languages, Literature & Linguistics,Mathematics & Statistics,Education,Art, Performing Arts & Design,Electrical & Electronic Engineering,Law,General Engineering,Geography,Biological Sciences,Psychology",False,False
150,15,Johns Hopkins University,91.1,150,84.4,23,92.3,17,97.2,27,100.0,11,84.2,199,United States,"15,772",4.1,28%,56 : 44,15%,Johns Hopkins University,"Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Computer Science,Physics & Astronomy,Business & Management,Archaeology,Mathematics & Statistics,Sociology,Other Health,Economics & Econometrics,General Engineering,Psychology,Mechanical & Aerospace Engineering,Chemistry,History, Philosophy & Theology,Chemical Engineering,Education,Biological Sciences,Accounting & Finance,Medicine & Dentistry,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies)",False,False
160,16,University of Pennsylvania,91.0,160,87.7,15,89.7,21,97.6,23,97.7,90,78.8,269,United States,"21,312",6.2,22%,54 : 46,13%,University of Pennsylvania,"Other Health,Physics & Astronomy,Accounting & Finance,General Engineering,Mathematics & Statistics,Economics & Econometrics,Languages, Literature & Linguistics,Biological Sciences,Sociology,Archaeology,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Architecture,Geography,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Psychology,Electrical & Electronic Engineering,Chemistry,Medicine & Dentistry,Veterinary Science,Education,Chemical Engineering,Law,Business & Management,Computer Science,Communication & Media Studies",False,False
170,17,Columbia University,90.9,170,88.6,14,89.7,20,97.4,25,75.2,332,86.9,169,United States,"25,914",5.2,35%,,23%,Columbia University,"Accounting & Finance,Chemical Engineering,Psychology,Computer Science,Sport Science,Architecture,Medicine & Dentistry,Physics & Astronomy,Economics & Econometrics,Civil Engineering,Art, Performing Arts & Design,Chemistry,Biological Sciences,General Engineering,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Archaeology,Sociology,Law,Electrical & Electronic Engineering,Communication & Media Studies,Business & Management,Other Health,Mathematics & Statistics,Agriculture & Forestry,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences",False,False
180,18,"University of California, Los Angeles",90.1,180,85.7,19,91.9,18,96.4,34,92.3,143,74.3,342,United States,"42,634",9.6,15%,56 : 44,21%,"University of California, Los Angeles","Electrical & Electronic Engineering,Veterinary Science,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Psychology,Archaeology,Art, Performing Arts & Design,Chemistry,Chemical Engineering,Medicine & Dentistry,Education,Law,Biological Sciences,Sport Science,Mathematics & Statistics,Economics & Econometrics,History, Philosophy & Theology,Communication & Media Studies,Civil Engineering,Other Health,Business & Management,Politics & International Studies (incl Development Studies),Geography,Accounting & Finance,Physics & Astronomy,Agriculture & Forestry,Sociology,Architecture,Languages, Literature & Linguistics,Computer Science,General Engineering",False,False
190,19,National University of Singapore,90.0,190,78.8,25,94.0,16,95.4,47,100.0,19,91.1,117,Singapore,"33,334",20.0,24%,49 : 51,28%,National University of Singapore nus,"Computer Science,Geology, Environmental, Earth & Marine Sciences,Business & Management,History, Philosophy & Theology,Civil Engineering,Geography,Archaeology,Sociology,Mechanical & Aerospace Engineering,Biological Sciences,Accounting & Finance,Architecture,Mathematics & Statistics,Psychology,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),General Engineering,Chemistry,Economics & Econometrics,Art, Performing Arts & Design,Medicine & Dentistry,Agriculture & Forestry,Law,Other Health,Physics & Astronomy,Languages, Literature & Linguistics,Chemical Engineering,Communication & Media Studies",False,False
200,20,Cornell University,89.5,200,85.7,20,88.7,22,97.6,22,69.4,447,86.0,176,United States,"23,620",10.0,24%,51 : 49,25%,Cornell University,"Electrical & Electronic Engineering,History, Philosophy & Theology,Agriculture & Forestry,Chemistry,Biological Sciences,Economics & Econometrics,Business & Management,Civil Engineering,Architecture,Law,Archaeology,Mathematics & Statistics,Psychology,Veterinary Science,Sociology,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Other Health,General Engineering,Politics & International Studies (incl Development Studies),Computer Science,Languages, Literature & Linguistics,Chemical Engineering,Communication & Media Studies,Physics & Astronomy",False,False
